Study_ID,Participants,Predictors,Outcome,Analysis,Overall_Judgment,Key_Reason,Assessment_Status,Notes
S001,High,Unclear,Unclear,High,High,Analysis-domain optimism and participant-spectrum concerns,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S002,High,Unclear,Unclear,Unclear,High,Participant selection/spectrum concerns despite external validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S003,High,Unclear,Unclear,High,High,Small high-dimensional datasets and CV-only evaluation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S004,High,Unclear,Unclear,High,High,Secondary case-control datasets and internal-only testing,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S005,High,Unclear,Low,High,High,Analysis-domain leakage risk and case-control sampling,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S006,High,Unclear,Low,High,High,Small sample and analysis optimism,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S008,High,Unclear,Low,High,Unclear,Strong internal design but calibration/external validation absent,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S009,High,Unclear,Low,High,High,Case-control spectrum and internal-only validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S010,Unclear,Unclear,Low,High,High,Tiny test set and analysis uncertainty,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S012,High,Unclear,Low,High,High,"Case-control spectrum, unclear nesting, and internal-only validation",Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S013,High,Unclear,Unclear,High,High,Analysis domain high risk because feature selection and performance used the same data,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S014,High,Unclear,Low,High,High,Analysis-domain leakage and participant-spectrum concerns,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S015,High,Unclear,Low,High,High,Subtype-only task and analysis-domain circularity/no external patient validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S016,High,Unclear,Unclear,High,High,Case-control sampling and internal-only validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S017,High,Unclear,Low,High,High,Participant selection and internal-only validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S018,High,Unclear,Low,High,High,Participant spectrum and incomplete external performance assessment,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S019,High,Unclear,Low,Unclear,High,Outcome/applicability mismatch for cancer-detection review and retrospective spectrum,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
S020,High,Unclear,Unclear,High,High,Participant-selection concern and no independent validation,Final analytical assessment; human co-review still required for a manuscript claim of independent dual assessment,AI-assisted finalization; independent human confirmation is recommended before claiming dual-review assessment.
