Study_ID,Data_Family,Omics_Layer,Clinical_Task,SVM_Role,Final_Review_Status,Final_Eligibility_Reason,Validation_Category,Reported_Key_SVM_Performance,Eligibility_Notes
S001,Molecular omics,Epigenomics,Cancer detection,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,AUC=1.00 (0.90-1.00); sensitivity=0.94; specificity=1.00,Use cautious wording for perfect AUC. Final inclusion confirmed; quantitative eligibility handled separately.
S002,Molecular omics,Proteomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,External only,AUC=0.82 (0.79-0.85); sensitivity=0.69; specificity=0.81,Useful for external-validation subgroup. Final inclusion confirmed; quantitative eligibility handled separately.
S003,Molecular omics,Transcriptomics,Diagnostic and prognostic,Component of ensemble or hybrid model,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Single SVM test error 17.74% +/- 10.87%; ensemble better but exact value NR,Do not pool prognostic medulloblastoma results with diagnostic studies. Final inclusion confirmed; quantitative eligibility handled separately.
S004,Molecular omics,Metabolomics,Multiple tasks,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,RCC AUC 0.93; OC AUC 0.82,Correct earlier false label of external validation. Final inclusion confirmed; quantitative eligibility handled separately.
S005,Molecular omics,Proteomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,"Accuracy, sensitivity, and specificity all 1.00 in LOO","Treat duplicate spectra as reproducibility, not external validation. Final inclusion confirmed; quantitative eligibility handled separately."
S006,Molecular omics,Epigenomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,"Test accuracy 1.00; training sensitivity 0.96, specificity 1.00",Earlier Infinium results should not be counted as external validation of the same model. Final inclusion confirmed; quantitative eligibility handled separately.
S007,Clinical or laboratory data,Not conventional omics,Diagnostic and prognostic,Comparator model only,Exclude,Low-dimensional clinical/laboratory input is outside the revised omics and omics-adjacent scope; SVM was only a comparator and did not provide an eligible primary SVM diagnostic model,Internal only,NR; PSO-SVM exact values not extractable from text,Correct PDF replaced earlier 404 page. Final exclusion confirmed under revised scope.
S008,Imaging-derived data,Not conventional omics,Early detection or screening,Primary final classifier,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,Non-CP PCA/Gaussian AUC 0.988; CP AUC 1.00,Useful omics-adjacent subgroup; avoid claiming clinical deployment. Final inclusion confirmed; quantitative eligibility handled separately.
S009,Molecular omics,Metabolomics,Cancer detection,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,AUC 0.979; accuracy 0.980; sensitivity 0.960; specificity 1.000,Separate diagnostic results from survival analysis. Final inclusion confirmed; quantitative eligibility handled separately.
S010,Molecular omics,Metabolomics,Cancer detection,One of several final classifiers,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Test accuracy 0.78; sensitivity 0.75; specificity 0.80; test AUC NR,"Correct earlier classification: this is molecular metabolomics, not omics-adjacent. Final inclusion confirmed; quantitative eligibility handled separately."
S011,Molecular omics,Transcriptomics,Early detection or screening,Feature-selection method only,Exclude,SVM was used only for feature selection and no eligible SVM classifier was evaluated,External only,NR,Do not attribute ANN AUC values to SVM. Final exclusion confirmed under revised scope.
S012,Spectroscopy-derived data,Not conventional omics,Cancer detection,Primary final classifier,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,WPCA-SVM AUC=0.982; accuracy=0.9915; sensitivity=0.9879; specificity=0.9936,Treat as spectroscopy/omics-adjacent rather than molecular omics. Final inclusion confirmed; quantitative eligibility handled separately.
S013,Molecular omics,"Transcriptomics and proteomics, analyzed separately",Diagnostic and prognostic,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,No validation,AUC=0.878 in GEO data; AUC=0.743 in protein data,Use in descriptive synthesis but not as validated performance. Final inclusion confirmed; quantitative eligibility handled separately.
S014,Molecular omics,Proteomics,Diagnostic and prognostic,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,AUC=0.933,Separate diagnostic SVM results from prognostic biomarker analyses. Final inclusion confirmed; quantitative eligibility handled separately.
S015,Molecular omics,Transcriptomics,Cancer subtype classification,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Accuracy=140/153=0.915 for specified PTCL; inter-lab concordance=36/40=0.90,Do not count laboratory reproducibility as external clinical validation. Final inclusion confirmed; quantitative eligibility handled separately.
S016,Molecular omics,Proteomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Held-out accuracy=0.9178; sensitivity=0.9189; specificity=0.9167,Reclassify the claimed external evaluation as internal validation. Final inclusion confirmed; quantitative eligibility handled separately.
S017,Molecular omics,Proteomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Blind-test AUC=0.972; sensitivity=0.9645; specificity=0.9487; PPV=0.960,Blind test is not external validation. Final inclusion confirmed; quantitative eligibility handled separately.
S018,Molecular omics,Proteomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal and external,"First validation AUC=0.81 (0.77-0.85), sensitivity=0.93, specificity=0.69; external-site sensitivity=0.837",External evidence supports sensitivity only; do not call external AUC/specificity. Final inclusion confirmed; quantitative eligibility handled separately.
S019,Molecular omics,Proteomics,Cancer stage classification,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,External only,AUC=0.803 (0.73-0.86); sensitivity=0.875; specificity=0.646; NPV=0.918; PPV=0.550,Do not pool with cancer-vs-non-cancer detection studies. Final inclusion confirmed; quantitative eligibility handled separately.
S020,Molecular omics,Metabolomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,"31-feature sensitivity=0.8767, specificity=0.8990; nested-RFE sensitivity=0.8939, specificity=0.8889","Correct prior classification: metabolomics single-omics, not multi-omics. Final inclusion confirmed; quantitative eligibility handled separately."
